sample_id,latitude,longitude,myco_diversity,est_s_e,x95_percent_lower,x95_percent_upper,raw_obs_div,sample_type,sequencing_platform,target_marker,primers,top,bot,core_length,seq_depth
S000567,-4.025,-69.54,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,4706
S000568,-4.028,-72.54,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,4517
S000569,-0.3738,-72.231,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,3663
S000570,-0.3837,-72.2324,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,3107
S000572,-0.3919,-72.046,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,2013
S000573,-0.395,-72.08,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,5343
S000574,-0.392,-72.046,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,4593
S000575,-0.55,-71.36,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,5765
S000576,-4.0083,-69.8964,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,6655
S000577,-4.0086,-69.8975,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,6852
S000578,-4.0086,-69.8984,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,3735
S000579,-4.0125,-69.8972,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,12464
S000580,-4,-69.883,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,5906
S000581,-3.9997,-69.8947,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,5323
S000582,-4.0175,-69.8983,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,6607
S000583,-4.133,-69.91,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,5553
S000584,-9.4347,147.35164,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,5666
